,count,unique,top,freq,mean,std,min,25%,50%,75%,max
federal_district,2564,8,Центральный федеральный округ,815,,,,,,,
federal_district_short,2564,8,ЦФО,815,,,,,,,
region_code,2564.0,,,,50.909516380655226,24.158042258730422,1.0,29.75,55.0,77.0,92.0
region_name,2564,82,г. Москва,405,,,,,,,
okato,2564.0,,,,47576638065.52262,25393029868.591675,1000000000.0,32000000000.0,45000000000.0,66000000000.0,99000000000.0
id,2564.0,,,,12035.379095163806,33083.1843564094,1.0,179.75,1566.0,1727.0,120111.0
name,2564,565,Государственное бюджетное образовательное учреждение высшего профессионального образования «Самарская государственная областная академия (Наяновой)»,5,,,,,,,
name_short,2564,563,ФГБОУ ВО «БГУ»,10,,,,,,,
year,2564.0,,,,2014.9551482059283,1.420523174064311,2013.0,2014.0,2015.0,2016.0,2017.0
e1,2564.0,,,,63.55144305772231,11.75990086280654,0.0,58.4075,63.629999999999995,69.71249999999999,100.0
e2,2564.0,,,,578.8729251170048,14677.259616134277,0.0,75.545,124.235,229.73499999999999,735892.54
e3,2564.0,,,,5.6415015600624026,5.901522810779148,0.0,1.73,3.92,7.57,100.0
e4,2564.0,,,,3328.394005460218,32235.56663217851,0.0,1612.4424999999999,2009.8249999999998,2747.3025,1305943.43
e5,2564.0,,,,126.75427457098284,63.29852252881686,0.0,107.79249999999999,145.37,169.8025,390.65
e6,2497.0,,,,75.05914577492992,23.472296578661787,0.0,70.0,80.0,90.0,100.0
e8,2564.0,,,,20.574863494539784,26.964336336038485,0.0,3.94,5.08,37.442499999999995,100.0
ege_budg,2564.0,,,,64.69864664586584,15.597322351456867,0.0,59.1875,65.62,72.3675,100.0
wos,2564.0,,,,65.12517141185647,226.98842136255067,0.0,1.578825,9.7689,35.8649,3592.2942
scopus,2564.0,,,,86.47096782371295,270.99980538544366,0.0,3.753225,17.9208,58.8369,3993.9515
rsci,2564.0,,,,835.4366186037441,1240.1267712456636,0.0,151.468725,438.17410000000007,966.4608,15278.085199999998
rnd,2564.0,,,,166153.3814352574,466286.53432426794,0.0,16090.800000000001,38678.7,104129.525,6651330.8
total_income,2564.0,,,,1296238.4441953977,2098638.58129204,4905.648,375127.725,709671.6,1274271.725,32584600.0
square,2564.0,,,,70193.90873634945,74677.74076593554,448.0,28179.5,52809.5,91340.75,988580.0
phd_share,2564.0,,,,68.31596723868955,16.590214242835888,0.0,63.705,72.46,78.6225,100.0
pps,2564.0,,,,447.67628705148206,469.70476167084695,0.0,169.75,338.0,550.0,5128.0
rnd_private,2564.0,,,,69727.13849843993,175605.79492494458,0.0,3000.32,16328.259999999998,48214.33500000001,2221577.68
pk,2564.0,,,,4479.1114664586585,4241.805359793833,7.300000000000001,1521.4625,3442.775,5830.85,33241.7
