feature,q1,median,q3,min,max
region_code,29.75,55.0,77.0,1.0,92.0
okato,32000000000.0,45000000000.0,66000000000.0,1000000000.0,99000000000.0
id,179.75,1566.0,1727.0,1.0,120111.0
year,2014.0,2015.0,2016.0,2013.0,2017.0
e1,58.4075,63.629999999999995,69.71249999999999,0.0,100.0
e2,75.545,124.235,229.73499999999999,0.0,735892.54
e3,1.73,3.92,7.57,0.0,100.0
e4,1612.4424999999999,2009.8249999999998,2747.3025,0.0,1305943.43
e5,107.79249999999999,145.37,169.8025,0.0,390.65
e6,70.0,80.0,90.0,0.0,100.0
e8,3.94,5.08,37.442499999999995,0.0,100.0
ege_budg,59.1875,65.62,72.3675,0.0,100.0
wos,1.578825,9.7689,35.8649,0.0,3592.2942
scopus,3.753225,17.9208,58.8369,0.0,3993.9515
rsci,151.468725,438.17410000000007,966.4608,0.0,15278.085199999998
rnd,16090.800000000001,38678.7,104129.525,0.0,6651330.8
total_income,375127.725,709671.6,1274271.725,4905.648,32584600.0
square,28179.5,52809.5,91340.75,448.0,988580.0
phd_share,63.705,72.46,78.6225,0.0,100.0
pps,169.75,338.0,550.0,0.0,5128.0
rnd_private,3000.32,16328.259999999998,48214.33500000001,0.0,2221577.68
pk,1521.4625,3442.775,5830.85,7.300000000000001,33241.7
